Sample	S00017985	S00017986	S00017987	S00017988	S00017989	S00017990	S00017991	S00017992	S00017993	S00017994	S00017995	S00017996	S00017997	S00017998	S00017999	S00018000	S00018001	S00018002	S00018003	S00018004	S00018005	S00018006	S00018007	S00018008	S00018009	S00018010	S00018011	S00018012	S00018013	S00018014	S00018015	S00018016	S00018017	S00018018	S00018019	S00018020	S00018021	S00018022	S00018023	S00018024	S00018025	S00018026	S00018027	S00018028	S00018029	S00018030	S00018031	S00018032	S00018033	S00018034	S00018035	S00018036	S00018037	S00018038	S00018039	S00018040	S00018041	S00018042	S00018043	S00018044	S00018045	S00018046	S00018047	S00018048	S00018049	S00018050	S00018051	S00018052	S00018053	S00018054	S00018055	S00018056	S00018057	S00018058	S00018059	S00018060	S00018061	S00018062	S00018063	S00018064	S00018065	S00018066	S00018067	S00018068	S00018069	S00018070	S00018071	S00018072	S00018073	S00018074	S00018075	S00018076	S00018077	S00018078	S00018079	S00018080	S00018081	S00018082	S00018083	S00018084
PC 35:4; [M-Ac-H]-@5.99	25538.92184	24868.39567	32824.55974	36642.44971	29561.19179	35714.68557	19008.71253	22060.4062	17090.88753	11601.95898	18209.69668	16904.70271	42932.78387	23778.59562	28927.98354	33101.64527	21184.53686	56076.19568	21945.09751	19122.15262	29829.9361	20284.80928	33288.58996	35803.53511	16912.17784	11613.82453	24771.53287	35241.40012	27958.55061	23544.47349	27112.02452	25384.74992	15092.49363	22622.82331	20873.44978	37066.24449	40462.22765	36108.41775	31832.03014	70829.26082	27001.9135	25047.52319	28838.27416	452.858364	17121.65791	21675.02732	31894.0208	19963.69592	38617.21676	15344.033	46986.62913	28489.55021	30971.99926	14755.57193	15277.63947	19734.91451	45597.51966	32932.78598	14820.94275	19935.51642	19065.91383	24882.3369	30355.88771	31842.63073	33672.0831	11597.92607	31639.71872	21848.1614	25436.42427	28435.09633	34408.33462	12867.2504	27661.30463	23889.86332	25478.78409	36981.24822	25724.33026	20849.42313	19125.05201	23611.94599	24345.2848	39720.80589	18018.71964	10245.8328	25710.86867	26985.68852	33434.29151	10293.57685	29552.6344	33703.72467	24022.0463	34902.4746	17886.18999	27552.99984	32401.85362	6419.917065	29332.39262	17115.31911	18047.51822	30681.62375
PC 35:5; [M-Ac-H]-@5.55	7099.116637	10118.08619	6853.223367	2791.431032	5087.991287	5186.192526	5410.563855	4506.923107	1037.405005	2362.107388	4921.315615	3046.940353	10352.4024	9741.724645	4991.545399	5740.413324	1348.627176	12978.03448	9366.235598	10099.10087	5525.885503	8421.769382	2483.727591		4085.39947	2557.40732	7788.429125	13843.19622	8727.930348	19774.40919	9162.119119	2309.63261	4428.163295	3126.917659	3406.894944	3442.663134	3850.034702	2112.911382	4793.443698	14569.01226	3216.949034	6703.390807	9081.538928	87.99552308	1099.601093	7538.774752	4990.446833	1055.927704	4066.471159	7635.428078		5939.984891	9018.402956	6967.157057	5235.373369	7113.43536	12278.93839	10923.10911	4694.81414	3492.822065	3070.525775	2846.439703	2120.78496	5144.10594	7005.720639	6533.498237	5815.737644	3469.268395	3652.507064	4721.210726	7565.105271	2556.330984	4821.103079	2987.500719	5407.629125	9280.844771	6915.929524	5676.511763	11330.27568	4007.485182	8665.148178		6893.784364	5287.853312	8544.22023	4921.211446	3578.810044	5961.329669	6936.10716	2303.268433	3710.097724	6644.697307	2483.823826	2991.596246	688.6093329	1111.899195	13227.338		3882.58096	6919.621339
PC 36:1; [M-Ac-H]-@7.36	256158.0339	462144.1884	311897.7999	247687.886	310275.3088	176278.2659	250812.878	311277.5345	286982.9372	185281.7697	405708.5098	252266.9454	495863.2158	253479.3536	629575.6831	340311.1398	235914.4469	244968.3049	397729.8598	259454.9576	448941.9802	480526.0003	279492.5051	621249.5435	213360.2334	142345.0255	277987.7292	267245.5431	605097.4569	261248.5676	442230.2612	554226.8196	392063.8682	295414.8153	683798.5459	494318.9207	344572.5201	322409.3047	441597.554	363370.1921	358647.4351	325126.5553	412025.813	1627.663995	343904.0624	458343.8581	261730.2651	307365.4374	500015.4013	409857.2438	490173.0089	413958.1165	332795.4965	276342.5426	367381.3635	382504.3903	498562.2674	556431.3363	633413.8668	220967.2424	280736.8662	330817.1591	561640.5265	535599.6843	526507.002	312170.0972	437426.7986	385527.0371	637283.8162	443935.5642	573145.2254	616020.4146	465068.5049	553102.2093	580386.0258	401469.8922	378293.3702	322428.8417	430758.8079	363965.1529	513392.5943	544276.1335	495541.5714	532336.6858	584773.404	684757.0976	419947.2732	319150.5185	463235.6215	438812.3287	539503.9575	582616.0954	375814.0149	737700.6506	641250.0701	461566.4169	524985.3609	421398.5723	479468.4256	442789.8768
PC 36:2; [M-Ac-H]-@6.91	1448060.376	2018341.676	1339388.475	1201235.501	1590898.354	1179229.768	1027480.472	1041695.901	1425187.27	1047598.622	1669176.153	1060370.782	2161231.448	1402622.809	2225156.159	1686692.996	1003856.314	1023663.025	1351692.241	1702967.619	1881386.051	1700594.143	1395529.584	2090962.971	1379083.296	823111.2541	1230793.377	1534924.707	1772968.887	1153327.238	2237396.787	2253534.218	1911942.339	1563669.491	1550092.434	1735414.288	1499295.891	1161253.469	1623194.404	1251587.021	1970560.51	1178983.498	1626205.839	4846.512134	1586109.546	1989100.431	1337837.529	1408066.784	1413609.485	1991861.037	1214010.219	1625289.393	986474.6114	1319324.995	1800099.912	1576655.218	1447159.129	2409746.203	1710840.267	894298.2319	1599058.072	1411749.139	2012771.699	1740399.197	2082341.2	1383483.104	1955692.87	1844651.206	2084940.605	1886430.743	2690088.885	1932656.798	2432140.29	2351651.329	2163292.015	1300049.291	1809417.928	1596822.566	1828904.811	1993020.394	2319116.021	1597048.074	1867584.675	2211098.184	1760923.578	1778731.31	1461945.631	1586673.578	1518711.404	1969213.881	2113072.333	1938738.869	1614606.874	2897103.065	2300033.714	1400147.408	2131245.51	1754736.072	2107882.304	1954566.73
PC 36:2; [M-Ac-H]-@5.01	1644.791594	3476.824158	11496.55235	2828.871673	1332.493713	1175.365479	1627.052463	3426.297922	101.5350145	3559.115617	3458.406038	1137.310525	3165.278679	1521.054108	4184.812221	8351.178801	4131.538485	9472.031599	749.773856	2881.399158	1053.515248	12886.99141	4170.157579	2597.081095	1546.18561	5312.325209	2937.697226	9244.63901	6441.449781	10001.20188	2425.847385	1340.546937	1248.342952	6380.135724	6689.721563	1671.80225	5736.595595	7184.636291	2769.374519	7181.863475	10573.17964	13449.27235	21210.17295	429.8301013	1067.43374	896.7628419	2622.011057	6692.774458	3743.725856	4446.478903	5961.236021	18076.98382	418.4476373	11114.81305	5068.893326	4067.814078	6610.786906	6345.99455	4091.576762	5755.174833	4459.987736	1006.936763	1672.795117	4999.140169	20709.86216	6531.981644	1459.398289	2035.143586	4649.344118	822.8864159	6525.546746	1393.23954	6785.402116	337.4775864	8180.937772	8985.086034	885.6178455	522.2652268	5129.479184	4858.784388	2497.596302	9014.763136	2468.081683	698.4742687	785.1187225	3073.099523	722.1633031	8492.219848	1201.096712	1450.597296	1954.798025	956.4165936	11679.14982	985.1940262	1390.396517	1335.455119	3060.386538	2781.955077	1429.374	2503.862019
PC 36:3; [M-Ac-H]-@5.17	13262.67941	7990.205688	30352.36963	3062.847204	13729.6745	3879.039674	12074.92794	14670.34775	7467.550231	4556.939177	8507.560866	4108.378236	12940.06177		24089.20678	11616.86677	14434.79398	22173.0709	6825.029213	13842.41712	5427.498564	22961.97604	4013.958201	10308.0396	8135.95608	13762.95946	10634.02692	12184.08734	17612.50748	27744.76214	14407.92403	3252.57629	10725.8221	12620.90336	43728.65319	11987.36677	14764.59065	30810.8204	8266.602503	45668.49594	30360.90258	28748.08521	33748.7704	168.4812891	8917.722686	10400.34648	4165.58422	21051.44885	21622.37168	21492.47283	21783.77772	38922.79017	10807.56753	21683.79087	5737.486613	23939.03655	23454.7673	22992.51447	13152.47904	6773.18726	17814.2573	12976.18564	4994.966285	4394.907448	34503.81973	16903.09094	86.57579268	8234.959837	15809.55971	4119.773547	19210.21115	3880.067448	15685.80516	1003.961389	18554.09919	10536.91905	2008.283522	5038.614205	19002.74233	7685.622766		26046.49932	8325.28779	5484.856728	5151.829141	8989.305309	7459.163404	26863.10239	6637.057345	4310.165166	8616.277974	2169.82264	13174.30747	9203.235676	7281.617515	10537.50604	26451.38713	7531.264751	7203.753228	7056.210062
PC 36:3; [M-Ac-H]-@6.48	667217.9554	983735.5658	1064844.636	874156.9074	842789.4066	691234.9345	754123.3428	861449.8187	818841.6065	678766.4637	959251.9273	733471.1208	1191974.534	1150067.784	1247690.334	1179988.224	768792.6258	791472.0581	1029131.936	981441.534	1060042.227	907763.8497	971271.3199	1292752.763	850336.1302	515569.5799	973775.1216	989401.9629	1167825.888	741627.8646	1075417.065	1168800.519	1052456.096	932838.1249	1088115.751	1090979.473	852467.248	837679.6332	927721.0493	769039.6043	882294.2625	837514.1313	761447.1127	1667.487731	962079.8666	1078597.728	923890.2896	839351.7678	810152.1586	1196223.525	842690.2842	915945.2979	615959.1889	690740.2857	1049222.342	1214841.796	972185.1277	1307241.152	910889.067	665127.4142	909727.0508	843432.8194	1109779.602	1284857.553	1083956.524	785385.0292	978973.6776	975220.2206	1147397.727	1089398.683	1451805.735	1134322.918	958200.5782	1421308.285	1218852.854	881378.9471	1039507.965	868993.4192	917122.7142	1242996.664	1191114.779	907245.7073	952355.1536	1146579.791	1131283.951	1346651.423	822696.7698	797750.7811	888187.0638	1033402.757	961209.8992	1200503.003	933886.1782	1248931.787	1206919.178	693868.8613	1068675.382	818981.8028	1081715.57	1053494.613
PC 36:4; [M-Ac-H]-@6.17	387271.0089	868850.8945	713754.0767	742120.506	614860.5474	587100.6948	811240.8296	972681.4149	614001.3137	550967.6141	632338.4761	674088.0653	1105624.008	981776.95	834198.0738	775949.4945	1155154.053	778516.6071	878025.8858	922434.1245	959625.6196	901199.6922	800667.5041	974919.6393	720724.8313	357096.0814	891538.6376	1179456.08	1416489.976	706710.836	634267.8218	1014568.046	721715.1913	399086.2862	651880.2678	1239755.257	984679.9812	932587.3483	1499495.399	959409.5236	363030.8674	528191.9566	521761.4136	3489.969017	688523.6607	871442.3667	1050273.84	556688.8638	844111.5032	826163.5188	744803.3572	597339.7468	1257750.679	524281.8365	968761.6582	807197.6531	726719.2276	442309.977	517343.2846	525804.8827	332927.5791	571192.3736	947055.6533	777350.3168	461214.1659	436893.0796	1259989.391	543875.2594	776486.5148	702623.1518	1075407.622	574471.7485	746158.5314	831358.0578	512179.9513	639347.518	596984.2842	627420.4773	559684.355	1126261.093	384183.4446	1013935.276	917937.8231	564089.6218	1490664.585	1026611.789	1172870.687	435844.3615	773068.0318	724326.2734	757454.9639	911267.7593	331454.9425	1050252.425	657175.9753	523458.8169	399843.81	897967.6867	934841.1136	1070045.38
PC 36:4; [M-Ac-H]-@5.13	14328.56521	4360.408957	9136.391104	2185.082318	9977.583505	2330.052326	5826.590761	6293.064398	5083.919627	7173.562803	5399.841619	493.8574943		4376.02415	14323.07447	7088.669554	11107.22588	27371.32584	7970.262611	7525.238939	1787.483077	12488.54592	3731.944318	17563.15247	5223.145228	9345.029907	2431.51228	21705.1501	9584.043772	24323.68828	8513.033083	3094.15926	5448.078933	6818.53933	31334.17175	6866.162589	14680.52333	28600.92334	5082.966896	42758.74604	37517.58459	31551.73631	28125.25848	730.0421541		6508.582404	12237.48429	18814.04542	22423.95661	20225.77301	11074.31568	35865.03201	3502.023157	31982.04502	2675.062574	11883.46875	36854.25667	14707.15366	10639.22586	7371.402048	12694.07803	6934.417482	12291.60232	4932.319991	36282.957	8944.31108	8020.170485	11957.9698	6302.77405	3406.570368	13003.3363	9597.534375	20506.95201	698.0930618	16316.03106	19665.55523	828.1462257	5986.43325	14533.38709	9463.300613	4962.700193	25874.25841	6172.368983	8534.865169	5388.262063	5849.006183	4898.881808	17044.68706	2824.378839	10346.75903	3418.178784	2244.534913	20101.75464	5634.187026	11363.35239	6023.187056	19204.91883		13133.7793	9506.785014
PC 36:5; [M-Ac-H]-@5.71	248758.7415	245484.62	161794.6889	165346.4095	106834.4304	125332.2772	130555.7825	194593.7097	115085.83	100041.8	180369.6494	146057.7971	308878.0125	184774.0766	135727.8852	214292.0091	157521.906	162619.8943	229298.9197	288265.3411	116345.993	97924.1812	173460.5542	131972.175	166612.4691	108999.1195	337071.2578	226825.0509	347434.6795	274662.9302	113493.6647	179339.2872	138711.3129	103669.6626	147744.119	149909.5859	194147.1965	107059.0633	225226.6883	157162.0858	56428.18185	150021.7187	91319.70324	162.0948498	123834.6082	187968.2516	128755.5176	58211.02443	145685.5133	143457.2246	125144.1016	83386.26173	293990.4323	134393.9856	174259.5945	217581.7206	142262.8457	98991.63301	126387.033	134715.0143	40250.86095	99135.1397	153780.805	175957.7703	168448.6972	110937.1469	186409.402	125660.1512	188736.0695	194914.13	164547.3129	87813.85978	117206.5878	84098.44697	123439.3412	79914.82887	129326.6989	163154.5548	129081.794	245621.5479	295411.7179	238632.1109	241750.2756	123237.4902	187216.7269	138048.225	126882.9593	45217.40113	142508.6033	108131.2677	134546.4781	120309.2865	61880.66067	136174.3774	114433.5377	59252.10591	65618.802	121777.3916	149521.1172	142137.0059
PC 36:6; [M-Ac-H]-@5.53	18923.29081	37977.06717	11715.95209	12674.65479	9757.340662	9103.212183	10821.40281	13276.30547	10168.06704	7012.523939	12117.7217	8348.878199	34681.18969	12259.22022	15270.21868	17469.22117	9012.028234	9588.36336	20484.41935	19781.61075	9768.612421	9865.389529	21051.54075	22271.44028	19467.43132	7150.91774	28026.24851	14283.51921	38666.20608	16562.34959	8862.666499	14677.90985	12796.2693	6297.314539	17193.46216	13296.57691	22825.05269	8492.914622	27308.81771	15510.81419	9396.25713	8575.918849	15766.80768	53.61117052	11171.7125	13478.2984	7956.494924	6926.082314	8863.823882	13189.67062	14334.42683	10846.73564	21278.83534	16273.02538	28152.98727	26261.569	25887.89784	20292.22997	19466.28412	15296.63005	5724.871191	5477.42212	14195.47489	25078.88102	17358.7464	16015.23851	9508.741875	8821.106358	24958.75365	16251.26097	25215.6403	8185.443629	6878.673915	5976.913614	17797.04695	15872.34023	16137.16717	14106.58078	5253.117049	26874.61058	35972.07669	15674.75731	24436.30528	18019.73454	13270.5656	15153.99466	10295.02486	10648.95195	12406.84104	17836.87862	5649.163534	11271.08506	7905.783004	21447.64548	15216.86009	9519.261135	9984.913671	18911.51163	18981.24584	16841.98612
PC 37:2; [M-Ac-H]-@7.21	19244.84654	19234.01308	19683.59468	11473.29759	12191.57961	11868.66665	14321.0247	18073.14662	13065.90764	18852.88215	13791.85338	5511.438619	32800.0456	21380.99629	20912.91933	16990.36906	9755.331634	15835.64901	25967.4743	20489.40928	17731.8991	22762.26328	9151.334311	43596.91306	15888.12759	9598.961348	22350.08819	15917.49969	29469.77568	21518.37021	31515.60166	13074.52787	26058.44517	25567.10142	20144.02253	22465.40256	22201.25283	13460.39619	13696.59359	11462.94286	19550.75384	17090.9006	21392.25728	147.5808679	12995.29244	35749.5938	17278.24509	13114.60016	17374.88419	20532.76269	26728.64178	22547.91676	14552.24806	15756.56477	16487.2623	14186.7171	16956.98115	28174.45964	12301.71548	8268.260561	22190.3223	24444.97127	20771.7313	14603.1315	14361.60013	18660.11481	16865.94467	18058.61733	30847.48103	18649.28333	33776.99999	19159.47803	36976.92138	28212.51823	15195.46992	16744.57248	23299.62776	18932.23219	23092.17384	22944.26531	33197.2146	22367.64327	18108.44611	21189.91453	16120.77138	27586.33943	20210.91845	12325.94683	18927.28063	20846.85882	16563.45157	33175.72112	26174.60078	23410.23911	24750.23184	13312.60377	20799.64651	20060.20715	11924.43594	11846.69139
PC 37:3; [M-Ac-H]-@6.80	10570.91623	13429.41124	18826.39263	15906.45719	10708.57664	10894.58728	26811.93453	20079.22919	14546.44282	13677.72107	15538.08223	15463.80174	28535.96078	17048.51522	26017.04558	24384.91605	22524.46177	18612.84155	18645.86117	18384.63439	20699.42719	13249.65818	16410.66999	22390.80738	12904.09921	12423.47206	31018.27482	32560.98109	31599.8092	14385.54705	27041.92368	18852.86704	30124.91895	17900.96632	12496.93027	15407.67525	16209.50486	27998.03758	26315.84919		8100.696835	14998.39011	25980.68524	89.95823002	13308.95129	37701.19961	13955.43903	9266.602493	27274.32071	20001.95375	12898.31651	25341.67011	15823.3187	13529.8418	17908.81585	22378.14099	17623.52412	24036.96189	23566.69857	16706.48909	25597.40115	19066.10861	13242.69617	21602.75058	21365.91929	16419.20765	16241.84496	11991.61527	12808.87835	19131.75717	33761.36724	14059.30004	17916.5532	17170.8516	17340.01147	13386.99231	18412.94312	18509.8404	15937.91808	16120.05719	13249.3304	16158.11459	17340.51359	26179.0877	26451.77073	37415.49328	26442.09405	11432.33054	19702.62478	26388.7351	34655.8517	30652.84428	26781.64075	14473.3354	37027.30835	15700.41196	16682.14915	11399.39551	19124.04114	32571.65725
PC 37:4; [M-Ac-H]-@6.59	17668.90188	34061.16089	43729.30654	55833.37288	25413.37117	49369.42663	52708.39179	42271.75335	32401.98759	50754.86621	37427.10452	34076.57626	41253.70022	36543.28419	32494.82695	51823.99849	64473.66152	39694.89464	30123.13442	32092.6898	37199.29486	37134.43009	33943.30297	45775.66233	38227.52552	26628.60602	42069.16466	61054.78266	45899.31315	36155.05028	23149.8005	28146.78784	31848.54946	29147.8951	17961.24415	49995.21099	45191.94157	23731.37459	62179.72239	82373.57821	20548.84324	18997.20275	37927.00766	181.80012	26926.96421	55759.48381	41504.51182	15460.50683	47895.78688	39707.34372	39760.22294	31832.2953	77889.85829	39980.29849	38900.79299	30765.58385	39697.51201	20774.13224	25207.29023	41591.60316	19308.52591	40035.35641	64707.56189	40112.24073	24128.48709	29900.18612	33147.68863	25627.06478	29931.1174	31810.2622	47021.26189	18520.7299	28092.35333	29049.85111	20037.98891	24438.96966	28048.16862	25329.61462	40161.93278	34018.54002	21910.03212	39998.88605	41762.83823	32809.99764	79284.33524	38730.82686	55471.88233	23823.65457	60016.78172	37275.8888	48520.07237	50409.70562	17994.0006	25825.70245	34254.24187	22313.37322	23935.74489	41931.38261	35965.5009	35158.73983
PC 37:5; [M-Ac-H]-@6.11	14890.94436	12393.58118	10969.69282	9360.557081	9460.711326	19873.44663	16390.40692	21740.06734	10947.27087	5050.037973	19469.9277	11429.00849	33701.05844	14570.9906	17758.59926	23732.91448	9095.296632	10868.2164	10168.15632	11496.97372	9987.11946	16181.2868	6855.934174	12038.82349	19165.1779	9774.425365	16668.43805	26196.09672	18490.59073	18141.4965	5573.40485	10246.19851	10119.53813	9683.930654	9996.885726	7240.124657	8516.790784	8314.841362	19617.19339	17579.90058	10606.43931	8205.692852	7994.495868	140.1027409	15604.73086	13075.96376	4948.673297	7288.470472	18600.13054	27841.88769	16727.59806	17383.34252	26025.97017	11448.6272	16728.46001	16232.41294	8980.020576	8225.423065	13583.32605	10817.52803	9004.197613	9645.617411	11163.70295	12560.90872	8391.137982	14123.22176	9363.394522	6484.580415	10513.91126	11059.2856	12043.1021	8722.836173	6190.470313	6365.295515	12220.30917	7934.450035	6765.812371	7078.179547	11090.81663	13980.24276	23441.44112	21943.80004	11838.09789	5365.077302	11763.38093	16128.31541	6133.488062	2941.241265	16674.81514	12920.52951	12150.30576	19977.30521	7329.921153	21481.19695	6839.21693	13034.59204	7194.21632	16861.69178	7310.443356	12649.29821
PC 37:6; [M-Ac-H]-@5.86	13643.74741	21010.36699	21989.34469	13824.33574	11858.36583	7157.666689	18662.93038	15009.21174	15245.95575	16956.84692	7557.612511	9488.881476	19975.57921	18552.32845	4799.964645	15845.47273	8619.808413	9933.783659	20375.67749	16247.70445	24146.29924	17359.04781	19537.57881	21506.97078	11602.81393	6515.619361	22206.92592	13850.87536	28362.86538	13682.30132	9903.452334	9665.060405	10185.65389	7057.672749	6330.876063	18708.81915	17611.07656	12468.76025	18178.75218	19900.70782	9423.315016	8473.579651	20167.40686	60.77840443	9148.673148	7644.718369	12747.27479	6987.496966	14844.4076	10485.91949	10342.04329	12809.25961	17009.99988	13250.75083	10246.66114	16835.44095	10563.38113	11879.05619	10353.15677	7860.473378	7450.911183	8034.037979	11330.95474	19287.25346	18511.3978	14872.7478	13864.41974	9886.421448	7949.838127	13340.3953	15446.03016	6532.691901	8048.581858	9814.460109	8960.313581	10359.64861	11639.35801	6419.710327	12001.31846	8720.340288	15438.28546	11869.18248	7879.574546	12685.49639	9904.246355	6823.286312	8638.056087	11194.67602	11288.47008	10333.60101	6543.120606	5552.398156	8084.131452	13023.3617	6605.789985	4219.896582	7235.953256	4742.801247	11166.94731	6865.232136
PC 38:1; [M-Ac-H]-@7.80	15558.14935	25123.73284	23398.35656	13997.52141	24934.43737	21060.82608	15901.92877	15273.30684	13164.04144	9973.251549	15077.45018	19903.4648	20097.83355	12471.68893	30452.88101	14413.86293	14744.58299	21057.72122	18663.77778	23735.66572	21860.1602	22368.47044	21980.95221	33379.67412	17839.17555	11177.626	13702.52118	33160.83693	26707.16915	19142.51206	25877.4522	18553.27563	21425.58387	23258.33891	19237.45256	29138.01114	19163.01694	17867.16048	35334.5909	19678.61919	15913.30634	23823.72737	34057.88115	103.4910925	24465.08439	23971.58572	11683.71703	19720.20904	20429.58772	18380.31689	47878.76839	14728.56465	21690.44675	12899.24092	15969.30841	24911.11789	33819.47627	28200.74805	13967.47792	10728.38419	23870.52279	25516.53595	26488.98635	22790.30062	21758.34506	33512.71964	24574.33632	18899.26417	33816.33987	32395.48384	39602.0949	36670.51894	27705.09638	30684.83805	35079.30853	33787.38541	29729.40834	27772.84807	25342.88321	25769.34266	54691.23844	45792.79704	30225.66272	31779.62418	24269.7268	32581.44159	29357.2716	34255.21618	29396.173	25076.12942	28638.21544	30713.77516	26071.39418	34950.5418	34822.16343	27487.3757	47548.61083	23931.70361	27662.24675	33629.33611
PC 38:2; [M-Ac-H]-@7.49	44814.28996	97310.47503	51699.39443	47770.2822	67009.10401	33383.5308	43174.95581	57367.38881	31217.36349	29969.91969	71248.08081	40164.99923	59787.36814	56489.60133	117747.9923	56541.12547	41198.13147	46320.40508	55312.23956	58622.6751	53612.76564	71555.00032	53407.78621	120514.2929	48248.23026	20187.81393	54593.4198	47653.28486	74086.81607	45519.53634	78473.8324	87628.84435	72826.47794	70814.86017	60089.80835	79693.2404	65333.47567	43482.59996	50216.00166	51069.25222	57851.39607	44193.75256	63833.58356	144.1361414	46233.07682	67418.22337	71831.57476	48975.08052	63208.01841	63097.69913	77460.06832	69895.04925	54794.90721	38049.69202	64569.97391	103566.9823	59730.80742	79990.73752	64268.75713	33537.09755	73568.16502	78196.05716	87953.60712	101942.2714	59143.50495	48415.3415	59754.18127	56001.92924	75268.58468	69247.0638	88553.75976	76425.65143	80478.71887	85706.58758	96910.39192	57866.61884	58400.70938	74136.31572	79824.49207	74678.83264	146851.8047	91644.98214	91223.97323	73178.16394	83777.46503	160276.979	68965.52429	66407.92194	61424.0695	79627.10311	81541.33266	159141.3989	80956.93446	83037.18583	118813.6444	62551.40559	62378.95851	66974.20026	89334.98396	85370.08962
PC 38:3; [M-Ac-H]-@7.14	200671.3787	371357.128	362416.7197	268620.3857	353220.9395	253488.6682	308140.5286	378279.3349	145622.1156	210480.6514	397372.8648	407992.5156	299366.5841	271767.2739	582812.0833	399157.1445	292812.4245	298854.6898	346480.8485	269017.9052	227071.1476	320895.9955	347377.2112	592682.5375	283415.5669	163581.3746	463510.5671	354023.26	581207.6958	329381.0451	509846.4546	620356.9784	438661.591	307745.0249	311326.3054	401776.4058	524910.8559	398427.549	421809.2221	302331.9236	215788.2626	372033.8604	289581.8925	1392.706912	335713.7363	471198.6306	339259.6842	136806.8502	331887.3987	437989.1749	328870.4518	355445.9134	355867.4516	178455.7302	367467.532	479971.3572	371422.1319	326936.5737	320834.7385	201982.0416	284460.3809	354615.9432	412800.6943	554686.8607	264488.7459	203912.863	319761.5447	197142.1729	323796.9558	349383.688	394653.5871	413465.8802	207373.647	375265.3241	434387.7569	286266.1368	193616.2867	257892.4923	352436.1081	440520.664	299205.1237	563472.8358	426396.8787	495218.3545	543098.6861	769758.777	376327.2588	224298.105	405613.8991	523157.3509	557986.3042	570797.3756	363576.7345	328738.9106	480473.1098	311242.3358	321736.9768	346366.2273	455136.6911	569418.6924
PC 38:4; [M-Ac-H]-@6.80	371494.2385	467985.7248	476641.3944	548914.6429	601699.0463	499361.349	745689.7671	838495.6837	588176.5302	515886.9196	611722.6532	748079.2997	568700.2123	361243.2949	686055.1494	732606.649	789053.2307	547711.9302	618781.4681	688592.7161	408712.7453	466569.9674	662603.6353	733492.341	547669.7208	389278.9163	662865.7457	966593.1332	1004875.802	539790.9336	694522.2415	763085.5127	625240.4139	421722.5615	416553.2323	640802.4788	988866.1016	605670.6603	1257741.041	918157.9888	375901.3092	438124.1427	345712.7886	2668.327085	600299.5752	742610.2266	739698.9898	262495.47	650612.1529	765141.5361	591624.4517	571896.884	1086479.372	421918.3326	694487.0272	876033.4358	440961.9763	358764.9575	408355.6674	440718.1752	360188.8282	603428.2102	995055.5353	739159.6198	427489.1631	451031.1539	664629.3479	540053.4809	477903.7049	708707.9663	825552.8152	649311.7855	375760.5629	513394.7909	518439.5029	503633.1221	723008.8602	508677.2863	607355.9458	771863.8419	509461.3366	932166.3908	862453.3477	669211.521	1082509.889	792439.8584	926793.5136	348120.542	716368.7532	761186.5981	997920.6885	873059.1642	411481.7996	505502.9813	635567.9786	662885.9984	437458.9745	887078.6692	762733.1407	1043014.739
PC 38:4; [M-Ac-H]-@5.26	14400.64856	7384.352582	20396.5665	6359.245489	11102.31989	3254.83042	13402.79256	6495.172275	7297.511025	7333.356825	10086.24858	1571.178423	14784.24841	6982.486723	28098.1151	5472.065242	7486.238103	14745.99117	6441.184754	13045.77989	3133.504305	20086.61017	2990.9364	16046.07953	3310.072144	20279.15421	8105.908494	21909.06155	14232.96853	23009.05657	9303.946963	3105.173809	5115.198425	13875.50989	45443.94776	8688.735186	12994.13914	18328.48204	5229.854625	43117.83215	35095.33967	37408.4141	39050.57112	66.08368263	14624.24123	6963.242691	7409.818705	27977.61307	34243.6854	26103.69626	30492.46834	35700.13636	3446.204134	19225.84201	4551.997957	32544.32979	39568.68635	24066.07904	20087.59593	6530.678602	18925.74994	6433.8579	13505.95034	13583.37386	48739.42974	21795.64452	12336.22684	11570.52954	17493.87773	5888.6853	27823.65995	14774.91559	31416.46806	3940.444816	20152.36132	10073.57671	356.4386601	9103.061008	23946.86354	15495.49549	7937.277249	29746.68272	7897.569627	5237.128111	9555.44857	8502.726596	5646.594226	10806.78698	5026.240403	3837.821463	5978.70353	1056.86376	23869.69547	11875.57556	10490.18568	13137.28814	28630.89452	404.0398978	8602.107078	8293.496667
